事件id,事件名称,朝代,时期,年号,年份,事件简介,事件内容,检索词,事件类别,特征类别,一级地点,二级地点,相关人物,相关作品
49,秦淮河两岸地名与文学有关,南朝,南朝,,,秦淮河两岸地名与文学有关,其次是“烟笼寒水月笼沙”的秦淮河两岸。“神女生涯原是梦，小姑居处本无郎”的青溪，“朱雀桥畔野草花，乌衣巷口夕阳斜”的乌衣巷、朱雀桥，“桃叶覆桃叶，渡江不用楫；但渡无所苦，我自迎接汝”的桃叶渡，“三山半落青天外，二水中分白鹫洲”的白鹭洲，“不死东吴死西晋，城南可惜孝侯台”的周处读书台，“同居长干里，两小无嫌猜”的长干里，“六朝蔓草天边去，万里长江席下来”的雨花台……,秦淮河两岸,作品事件,地点+作品,南京,秦淮河、青溪、乌衣巷、朱雀桥、桃花渡、白鹭洲、周处读书台、长干里、雨花台,,
51,《南京人报》刊载“南京四十四条半街名歌”,现当代,现当代,,,《南京人报》刊载“南京四十四条半街名歌”,"民国末年的《南京人报》金陵风物栏，曾刊载“南京四十四条半街名歌”，转摘如下：
三山搁漏看鸣羊，来凤仙鹤占磨盘；柳叶崇恩回龙道，玉振璇子彩霞坊；安品评事云长乐，马道石坝到奇望；致和中正平马府，五福钞库广艺街；常府五马近户部，同仁和会藕丝缠；洪武成贤多保泰，慈悲油市宝吉祥；太平八宝半边路，天青讲堂白塔巷；笔管安仁两街尽，共计四十四条半。",“南京四十四条半街名歌”,作品事件,作品+地点,南京,,,
52,诸书载录金陵寺名,南朝,六朝,,,诸书载录寺名甚多,此外还有大量的佛家园林，所谓“南朝四百八十寺”，并不是诗人的浪漫。《高僧传》、《建康实录》、《金陵梵刹志》诸书均载录寺名甚多，至晚清南京方志学家陈作霖编纂《南朝佛寺志》，尚得226寺。,“南朝四百八十寺”,作品事件,作品+现象,南京,,陈作霖,《高僧传》、《建康实录》、《金陵梵刹志》、《南朝佛寺志》
53,庾信在《小园赋》中描绘六朝文人园林,南朝,六朝,,,庾信在《小园赋》中描绘六朝文人园林,庾信在其著名的《小园赋》中，曾描绘过这种“歌侧八九丈，纵横数十步，榆柳两三行，梨桃百余树”，“一寸两寸之鱼，三竿两竿之竹”的六朝文人园林。,庾信,作品事件,文人+作品,南京,,庾信,
54,豁蒙楼名出自杜甫诗句,清,清,,,豁蒙楼名出自杜甫诗句,今天还值得一游的是鸡鸣寺中的豁蒙楼。豁蒙楼的历史远没有鸡鸣寺久远，但其意义却远比“梁武帝饿死台城”的旧话重要。豁蒙楼名，出自杜甫诗句“忧来豁蒙蔽”。据说甲午战争期间，力主抗战的张之洞署理两江总督，某日与得意门生杨锐同游鸡鸣寺，在南唐涵虚阁墟址上畅谈，深忧国事。杨锐反复吟诵杜甫《八哀诗·题秘书监江夏李公邕》中的名句：“君臣尚论兵，将帅接燕蓟。朗咏六公篇，忧来豁蒙蔽。”四年后戊戌变法失败，杨锐与谭嗣同、林旭、康广仁、刘光地、杨深秀等遇难，时称“戊戍六君子”。1902年，张之洞复任两江总督，怀念旧人，遂提议在鸡鸣寺涵虚阁墟址上建楼，“伐尽丛木，以览江湖”。两年后楼成，张亲题“豁蒙楼”匾并作长跋。梁启超也曾为此楼作楹联：“江山重叠争供眼，风雨纵横乱入楼。”也算是话里有话。,豁蒙楼,作品事件,地点+文人+作品,南京,鸡鸣寺、豁蒙楼、台城,梁武帝、杜甫、张之洞、杨锐、谭嗣同、林旭、康广仁、刘光地、杨深秀、梁启超,
55,王安石奏请废玄武湖为田,宋,北宋,,,王安石奏请废玄武湖为田,王安石的“天变不足威、祖宗不足法、人言不足恤”，直到20世纪中叶还能成为政治家的精神武器；但他在南京的政绩，恐怕就不大能拿出来说了，其间最著名的一件，就是奏请皇上废玄武湖为田。只要看玄武湖至今尚存，就可以明白他的荒唐。据说当其时就有政治笑话，说王宰相还打算废太湖为田，只是不知把太湖水弄到哪里去是好，有人报告说好办，只要另挖一太湖，将水放过去就是了。至于王安石在南京编纂的《三经新义》，好像连后代的经学家也不见提起。民间传说里对王安石改革中种种“扰民”措施是很不满意的，对他的M刺也相当深刻，读《警世通言》中的一篇《拗相公饮恨半山堂》就可见一斑。,王安石,作者事件,文人+事件,南京,玄武湖,王安石,《三经新义》、《警世通言》、《拗相公饮恨半山堂》
56,王世贞《游金陵诸园序》载南京园林,明,明,正德;嘉靖,,王世贞《游金陵诸园序》载南京园林,正德、嘉靖以后，南京的私家园林才开始多起来。据万历年间王世贞《游金陵诸园序》所载，仅徐达后人各处住宅中的大小园林就多达10处；此外还有齐王孙家的同春园、乌龙潭园，武定侯竹园，姚元白市隐园，顾司寇息园等。不过王世贞游览之际，这些园林多已盛而复衰，所以他“殊无艳羡语”，没有什么太高的评价。,王世贞,作品事件,文人+作品,南京,同春园、乌龙潭园、武定侯竹园、姚元白市隐园、顾司寇息园,王世贞、徐达,
62,改朝换代时的六朝文化世家,南朝,东晋;刘宋;齐;梁;陈,,,文化世家不受改朝换代影响，如谢安“以文学世其家”,与此相关的一个文化现象，是当时出现了一批文化世家。如东晋谢安“以文学世其家”，谢氏历宋、齐、梁、陈四朝，出现诗人16位，留存下的诗有340余篇，被编为《谢氏兰玉集》十卷。改朝换代并不影响这种文学世家的地位，在这个特定的历史时期，没有典型的“一朝天子一朝臣”现象，多的倒是“两朝元老”、“三朝元老”。,文化世家,作品事件,文人+现象,南京,,谢安,《谢氏兰玉集》
63,文人所记载的“六朝文化”带有虚幻色彩,南朝,六朝,,,文人所记载的“六朝文化”带有虚幻色彩,然而纸上的记载不过是当时和后世的文人，依据自己的偏爱僻好对史实进行剪裁甚至伪造的结果。即如被作为六朝士人风习标本的《世说新语》，早就被人看出其记事择言“以玄虚简远为宗旨，失之偏颇，范围亦狭”——就算它说的是真话，也绝不是完整的真话。换句话说，为后世文人所极力赞许的“六朝文化”，既然已经被从城市的现实载体上剥离抽象出来，几乎可以肯定带有相当浓厚的虚幻色彩；而南京人引以自豪的“六朝烟水气”，很可能是某些文人出于一己偏好有意无意杜撰出来的。像杜佑所说的“江宁古扬州地，永嘉之后，帝室东迁，衣冠避难，多所萃止，艺文儒术，斯之为盛。今虽闾阎贱隶，处力役之际，吟咏不辍，盖因颜、谢、徐、庾之风扇焉”；杨万里所说的“金陵六朝之故国也，有孙仲谋、宋武之遗烈，故其俗毅且美。有王茂弘、谢安石之余风，故其士清以迈。有钟山、石城之形胜，长江、秦淮之天险，故地大而才杰”；以及什么“地当淮、浙之冲，有浙之华而不浇，有淮之淳而雅”，“君子勤礼恭谨，小人尽力耕织。性好文章，音辞清举”，都未免带着过于强烈的文化浪漫色彩。,虚幻的“六朝文化”,作品事件,文人+作品+现象,南京,钟山、石城、长江、秦淮,杜佑、杨万里、王茂弘、谢安石,《世说新语》
64,顾起元《客座赘语》记南唐宫阙,南唐,南唐,,,顾起元《客座赘语》记南唐宫阙,明人顾起元《客座赘语》记南唐宫阙的位置，在内桥北面卢妃巷一带。内桥正对皇宫的正门，桥北有东西向的大街，街东端有东虹桥，西端有西虹桥，其间相距数百步。东虹桥自上元县衙（现在白下路101号）左向北达娃娃桥，有石嵌古河道遗迹；西虹桥自卢妃巷西向北，亦有石嵌古河道遗迹，据老南京人说这就是南唐护龙河的遗址。20世纪八九十年改造张府园小区时，曾数度发现石嵌古河道遗迹，证明顾起元所记不误。自卢妃巷向北直走大约一里路，又有一桥，亦名虹桥，而自东虹桥、西虹桥下来的流水，“环络交带”，到这里复汇为一支。,南唐宫阙,作品事件,文人+地点+作品,南京,卢妃巷、虹桥,顾起元,
65,李昪“复姓”李氏悬案,南唐,南唐,,,李昪“复姓”李氏悬案,就是南唐这样一个朝代，除了专门的史家，别的人也就很难搞得清楚。比如李昪的“复姓”李氏，就是一个悬案。他“少孤”，小时候就成了孤儿，又遇到战乱，为当时还是淮南节度使的杨行密收养，后来又被杨行密送给大将徐温，做了徐温的养子，遂冒姓徐氏，名知浩；待到做皇帝做了两年以后，才想到要“复姓”李氏，无非是在那个群雄并起的时代，图谋一个李唐王朝“正宗”继承人的名义而已——而且直到那时，他连选择唐代的哪一个皇帝做自己的祖先还没有拿定主意，要同心腹大臣一起讨论。李昪一登基就接受了契丹的徽号，与契丹称兄道弟，不久又向后晋“假道”通契丹，没有成功；及至契丹灭了后晋，中主李璟更是迫不及待地要派人到长安去“奉修祖陵”，想必也是出于这种需要。大约连契丹也看破了他的用心，所以一口回绝了他。其实李昪是徐州（旧称彭城）人，所以他的小字会叫“彭奴”。,李昪,作者事件,官员+事件,,,李昪、杨行密、徐温、李璟,
70,太子弘冀与景遂叔侄相残,南唐,南唐,中兴,958年,太子弘冀与景遂叔侄相残,这些人都有意无意地忽略了一个事实，就是太子弘冀的死另有隐情。李璟直到中兴元年（958），也就是他在位的第16年，才放弃了以景遂作继承人的安排，立长子弘冀为太子。景遂执掌兵权多年，根深蒂固，与李璟合作得也好；弘冀年少气盛，刚愎自用，就让李璟感到不舒服，动不动就扬言要换接班人，结果弘冀在第二年八月里，毒死了他的叔叔景遂；而弘冀当月就开始生病，且病中一再见到景遂的冤魂前来索命，捱到九月也就一命呜呼了。这场叔侄相残打破了南唐帝王家的友爱神话，更重要的是，南唐小王朝就这样一下失去了两个治国能力远比李煜为强的继承人。,太子弘冀,典故,文人+关系+典故,,,弘冀、李璟、景遂、李煜,
71,黔娄之衾,南唐,南唐,,,李煜赐韩熙载黔娄之衾,到了后主登基，这种状况更是有过之而无不及。李煜与小周后偷情，且作新词《菩萨蛮》描写小周后提着金缕鞋光脚赴幽会的情状，画堂南畔见，一向偎人颤。奴为出来难，教君恣意怜。韩熙载连说不像话。李煜听说韩熙载风流放诞，蓄妓数十，帷薄不修，以惜才念老而置之不问，却总想看一看那种游宴之乐的场面，又不便身历其境，于是派顾闳中去偷窥，画出《韩熙载夜宴图》，图中家伎劝酒，并肩携手，眉花眼笑，屏风后隐约可见宾客解衣登榻的放浪形骸。李煜也叹息说不像话。这一对不像话的君臣，自然只能弄出不像话的政事。后来韩熙载终于获罪，罚其流放去南方，韩熙载上表陈情说：无横草之功可裨于国，有滔天之过自累其身。老妻伏枕以呻吟，稚子环床而坐泣。三千里外，送孤客以何之？一叶舟中，泛病身而前去。后主览而悲之，遂免南行。一篇悲悲切切的文章，就足以打动国主，使刑罚不施。韩熙载病死，后主不但赐衾裯以殓，而且赠平章事。掌管礼仪的官员提出异议，说自古以来没有赠死者宰相的先例。后主坦然说：那就从我开始吧！徐铉祭文中有黔娄之衾，赐从御府；季子之印，佩入泉扃之句，就是指的这件事。,黔娄之衾，赐从御府,典故,文人+官员+关系+典故,,,李煜、小周后、韩熙载、顾闳、徐铉,《菩萨蛮》、《韩熙载夜宴图》
76,李后主造澄心堂纸,南唐,南唐;宋,,,李后主造澄心堂纸,李后主造的澄心堂纸，甚为贵重。宋初犹有存者。欧阳修曾以二轴赠梅圣俞，梅赋诗说：“江南李氏有国日，百金不许市一枚。当时国破何所有？帑藏空竭生莓苔。但存图书及此纸，弃置大屋墙角堆。幅狭不堪作诏命，聊备粗使供鸾台。”澄心堂纸纸幅较窄，不能用来写帝王的诏命，只能供文人把玩欣赏，真有点像李后主的命运。相传《淳化阁帖》皆此纸所拓，欧阳修著《五代史》亦用澄心堂纸打草稿。,澄心堂纸,作者事件,文人+事件,南京,,李后主、欧阳修,《淳化阁帖》、《五代史》
88,朱元璋火烧功臣楼,明,明,,,朱元璋火烧功臣楼,有一个朱元璋火烧功臣楼的故事，说朱元璋做了皇帝后，每日惶惑不安，觉得那些开国功臣们能辅佐自己登上皇帝宝座，万一哪天变了心，不同样能辅佐别人做皇帝吗！于是动了杀机，在鼓楼附近造起一座功臣楼，要在楼上设宴为开国功臣们庆功。功臣楼造好后，刘伯温陪同朱元璋去察看，便发现不对头，这楼壁是铜铸的，楼柱是空心的，楼上的窗子又很小，一旦楼门从外面锁上，里面的人怎么也逃不出来。到了开宴的那一天，刘伯温托病未去，还悄悄对徐达说，今天你要留神，皇上到哪里，你一定要跟到哪里，寸步不能离开。果然酒过三巡，朱元璋就起身退席。徐达不声不响跟在皇帝身后。朱元璋出了门，一见徐达跟出来了，忙叫他再回去喝酒。徐达说：皇上连一达也不留么？朱元障知道被徐达看出了破绽，只好带着徐达匆匆离开。这里早有人把功臣楼的大门反锁了，放火烧楼。等到楼上的功臣们发现，楼壁楼柱已被烧得滚烫，结果都困在里面被活活地烤死了。,朱元璋,典故,文人+典故,南京,功臣楼、鼓楼,朱元璋、刘伯温、徐达,
